GameID,Season,Week,Letter,Match Type,Home Team Rank,Home Team,Away Team,AwayTeamRank,Conference Game,Neutral Site,Invitational,Conference Tournament,CBI,NIT,Tournament,National Champ,Listed Coach,Other Coach,Arena,City,State,GameTitle,Info,NextGameID,HoA
13826,2025,1,A,OOC,,AAMU,CBU,,0,0,0,0,0,0,0,0,AI,AI,AL A&M Events Center,Huntsville,AL,,,0,
13827,2025,1,A,OOC,,ACU,SDAK,,0,0,0,0,0,0,0,0,AI,AI,Moody Coliseum,Abilene,TX,,,0,
13828,2025,1,A,OOC,,AKRN,BRWN,,0,0,0,0,0,0,0,0,AI,AI,James A. Rhodes Arena,Akron,OH,,,0,
13829,2025,1,A,OOC,,ALB,CAN,,0,0,0,0,0,0,0,0,AI,AI,SEFCU Arena,Albany,NY,,,0,
13830,2025,1,A,OOC,,ALCN,UNCA,,0,0,0,0,0,0,0,0,AI,AI,Davey Whitney Complex,Lorman,MS,,,0,
13831,2025,1,A,OOC,,ALST,MEMP,,0,0,0,0,0,0,0,0,AI,AI,Dunn–Oliver Acadome,Montgomery,AL,,,0,
13832,2025,1,A,OOC,,AMCC,ORST,,0,0,0,0,0,0,0,0,AI,AI,American Bank Center Arena[h],Corpus Christi,TX,,,0,
13833,2025,1,A,OOC,,APST,WAG,,0,0,0,0,0,0,0,0,AI,AI,George M. Holmes Convocation Center,Boone,NC,,,0,
13834,2025,1,A,OOC,,ARK,STET,,0,0,0,0,0,0,0,0,kwheeler,AI,Bud Walton Arena,Fayetteville,AR,,,0,
13835,2025,1,A,OOC,,ARMY,USAF,,0,1,0,0,0,0,0,0,AI,AI,Stan Sheriff Center,Honolulu,HI,,,0,
13836,2025,1,A,OOC,,ARST,MORG,,0,0,0,0,0,0,0,0,AI,AI,First National Bank Arena,Jonesboro,AR,,,0,
13837,2025,1,A,OOC,,AUB,LAM,,0,0,0,0,0,0,0,0,AI,AI,Neville Arena,Auburn,AL,,,0,
13838,2025,1,A,OOC,,BAYL,UIW,,0,0,0,0,0,0,0,0,Vivid,AI,Ferrell Center,Waco,TX,,,0,
13839,2025,1,A,OOC,,BC,URI,,0,0,0,0,0,0,0,0,AI,AI,Conte Forum,Chestnut Hill,MA,,,0,
13840,2025,1,A,OOC,,BU,FOR,,0,0,0,0,0,0,0,0,AI,AI,Case Gym,Boston,MA,,,0,
13841,2025,1,A,OOC,,BUCK,EIU,,0,0,0,0,0,0,0,0,AI,AI,Sojka Pavilion,Lewisburg,PA,,,0,
13842,2025,1,A,OOC,,BUT,DAV,,0,0,0,0,0,0,0,0,AI,AI,Hinkle Fieldhouse,INpolis,IN,,,0,
13843,2025,1,A,OOC,,BYU,FSU,,0,0,0,0,0,0,0,0,Bellwood,AI,Marriott Center,Provo,UT,,,0,
13844,2025,1,A,OOC,,CAL,USC,,0,0,0,0,0,0,0,0,AI,AI,Haas Pavilion,Berkeley,CA,,,0,
13845,2025,1,A,OOC,,CAMP,LIP,,0,0,0,0,0,0,0,0,AI,AI,"John W. Pope, Jr. Convocation Center",Buies Creek,NC,,,0,
13846,2025,1,A,OOC,,CARK,GMU,,0,0,0,0,0,0,0,0,AI,AI,Farris Center,Conway,AR,,,0,
13847,2025,1,A,OOC,,CCU,GCU,,0,0,0,0,0,0,0,0,AI,AI,HTC Center,Conway,SC,,,0,
13848,2025,1,A,OOC,,CHAR,CLEM,,0,0,0,0,0,0,0,0,AI,AI,Dale F. Halton Arena,Charlotte,NC,,,0,
