MatchID,Season,SeasonID,Week,WeekID,TimeSlot,HomeTeamID,HomeTeam,HomeTeamCoach,HomeTeamRank,Arena,City,State,AwayTeamID,AwayTeam,AwayTeamCoach,AwayTeamRank,IsNeutralSite,IsInvitational,IsConference,IsConferenceTournament,IsCBI,IsNIT,IsTournament,IsNationalChampionship,GameTitle,NextGameID,HomeOrAway
1,2026,6,15,2615,A,206,HALL,AI,,Prudential Center,South Orange,New Jersey,27,ECU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2,2026,6,15,2615,A,159,BING,AI,,Binghamton University Events Center,Vestal,NY,315,UTM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
3,2026,6,15,2615,A,208,ILST,Ape,,CEFCU Arena,Normal,IL,266,NCAT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
4,2026,6,15,2615,A,201,LMU,AI,,Gersten Pavilion,Los Angeles,CA,83,ORST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
5,2026,6,15,2615,A,362,MRMK,AI,,Hammel Court,North Andover,MA,171,LBSU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
6,2026,6,15,2615,A,228,UTA,AI,,College Park Center,Arlington,TX,323,CIT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
7,2026,6,15,2615,A,258,WIN,AI,,Winthrop Coliseum,Rock Hill,SC,247,PRST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
8,2026,6,15,2615,B,203,PEPP,AI,,Firestone Fieldhouse,Malibu,CA,31,FAU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
9,2026,6,15,2615,B,316,LIN,AI,,Robert F. Hyland Performance Arena,St. Charles,MO,131,UMBC,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
10,2026,6,15,2615,B,212,SIU,AI,,Banterra Center,Carbondale,IL,293,IONA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
11,2026,6,15,2615,B,103,TXST,AI,,Strahan Arena,San Marcos,Texas,194,CREI,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
