MatchID,Season,SeasonID,Week,WeekID,TimeSlot,HomeTeamID,HomeTeam,HomeTeamCoach,HomeTeamRank,Arena,City,State,AwayTeamID,AwayTeam,AwayTeamCoach,AwayTeamRank,IsNeutralSite,IsInvitational,IsConference,IsConferenceTournament,IsCBI,IsNIT,IsTournament,IsNationalChampionship,GameTitle,NextGameID,HomeOrAway
1,2026,6,1,2601,A,214,DU,AI,,Magness Arena,Denver,CO,146,JST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2,2026,6,1,2601,A,31,FAU,AI,,FAU Arena,Boca Raton,Florida,261,DREX,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
3,2026,6,1,2601,A,27,ECU,AI,,Williams Arena at Minges Coliseum,Greenville,North Carolina,191,JOES,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
4,2026,6,1,2601,A,2,AKRN,AI,,James A. Rhodes Arena,Akron,Ohio,229,RGV,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
5,2026,6,1,2601,A,165,UV,iToxickiddy,,Patrick Gym,Burlington,VT,217,NDSU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
6,2026,6,1,2601,A,76,OHIO,AI,,Convocation Center,Athens,Ohio,203,PEPP,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
7,2026,6,1,2601,A,177,DRKE,AI,,Knapp Center,Des Moines,IA,222,GCU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
8,2026,6,1,2601,A,355,WAG,AI,,Spiro Sports Center,Staten Island,NY,275,UWGB,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
9,2026,6,1,2601,A,200,GONZ,RJ Broadway Barrett,,McCarthey Athletic Center,Spokane,WA,171,LBSU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
10,2026,6,1,2601,A,240,EWU,David VanHousen,,Reese Court,Cheney,WA,266,NCAT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
11,2026,6,1,2601,A,307,MORG,AI,,Talmadge L. Hill Field House,Baltimore,MD,180,JMU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
12,2026,6,1,2601,A,255,RAD,AI,,Dedmon Center,Radford,VA,274,DETM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
13,2026,6,1,2601,A,361,LIU,AI,,Steinberg Wellness Center,Brooklyn,NY,98,TCU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
14,2026,6,1,2601,A,176,BRAD,AI,,Carver Arena,Peoria,IL,109,UAB,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
15,2026,6,1,2601,A,256,UNCA,AI,,Kimmel Arena,Asheville,NC,246,UNCO,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
16,2026,6,1,2601,A,194,CREI,AI,,CHI Health Center Omaha,Omaha,NE,155,UNF,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
17,2026,6,1,2601,A,164,NJIT,AI,,Wellness and Events Center,Newark,NJ,202,PAC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
18,2026,6,1,2601,A,224,CBU,AI,,CBU Events Center,Riverside,CA,298,RID,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
19,2026,6,1,2601,A,376,HPU,AI,,Neal S. Blaisdell Center,Honolulu,HI,231,UVU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
20,2026,6,1,2601,A,279,OAK,AI,,Athletics Center O'rena,Rochester,MI,54,MRSH,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
21,2026,6,1,2601,A,293,IONA,AI,,Hynes Athletic Center,New Rochelle,NY,42,IOWA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
22,2026,6,1,2601,A,154,UNA,AI,,Flowers Hall,Florence,AL,369,MRCY,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
23,2026,6,1,2601,A,199,XAV,AI,,Cintas Center,Cincinnati,OH,368,SAMO,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
24,2026,6,1,2601,A,40,ILLI,nemolee.exe,,State Farm Center,Urbana Champaign,Illinois,97,CUSE,Diesel.be,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
25,2026,6,1,2601,A,341,GRAM,AI,,Fredrick C. Hobdy Assembly Center,Grambling,LA,135,VCU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
26,2026,6,1,2601,A,181,DAV,Mightydog135,,John M. Belk Arena,Davidson,NC,153,LIP,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
27,2026,6,1,2601,A,263,HAMP,AI,,Hampton Convocation Center,Hampton,VA,157,STET,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
28,2026,6,1,2601,A,63,MSST,AI,,Humphrey Coliseum,Starkville,Mississippi,306,UMES,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
29,2026,6,1,2601,A,294,MSM,AI,,Knott Arena,Emmitsburg,MD,182,DAY,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
30,2026,6,1,2601,A,198,VILL,Haschdei,,Finneran Pavilion[f],Villanova,PA,219,STMN,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
31,2026,6,1,2601,A,375,TUV,AI,,Magnavox Arena,Fakaifou,TU,218,ORU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
32,2026,6,1,2601,A,243,MONT,AI,,Dahlberg Arena,Missoula,MT,330,VMI,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
33,2026,6,1,2601,A,47,UKEN,Ezaco,,Rupp Arena,Lexington,Kentucky,295,MAN,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
34,2026,6,1,2601,A,18,CAL,AI,,Haas Pavilion,Berkeley,California,159,BING,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
35,2026,6,1,2601,A,6,AZST,thornily,,Desert Financial Arena,Tempe,Arizona,172,CSUB,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
36,2026,6,1,2601,A,12,BAYL,Vivid,,Ferrell Center,Waco,Texas,68,NEV,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
37,2026,6,1,2601,A,14,BC,AI,,Conte Forum,Chestnut Hill,Massachusetts,33,FRES,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
38,2026,6,1,2601,A,25,CSU,AI,,Moby Arena,Fort Collins,Colorado,19,CMU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
39,2026,6,1,2601,A,346,AAMU,AI,,Alabama A&M Events Center,Huntsville,AL,323,CIT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
40,2026,6,1,2601,A,373,JRU,AI,,Mall of Asia Arena,Mandaluyong City,Manila,84,PNST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
41,2026,6,1,2601,A,303,NORF,AI,,Joseph G. Echols Memorial Hall,Norfolk,VA,282,WRST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
42,2026,6,1,2601,A,326,ETSU,parkerstory26@gmail.com,,Freedom Hall Civic Center,Johnson City,TN,46,KENT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
43,2026,6,1,2601,A,57,MIAF,Dearden,,Watsco Center,Coral Gables,Florida,179,EVAN,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
44,2026,6,1,2601,A,121,UVA,Wahoo,,John Paul Jones Arena,Charlottesville,Virginia,105,TLDO,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
45,2026,6,1,2601,A,334,SELA,AI,,University Center,Hammond,LA,77,OHST,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
46,2026,6,1,2601,A,284,BRWN,AI,,Pizzitola Sports Center,Providence,RI,160,BRY,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
47,2026,6,1,2601,A,32,FSU,AI,,Donald L. Tucker Civic Center,Tallahassee,Florida,357,LEM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
48,2026,6,1,2601,A,80,ODU,AI,,Chartway Arena,Norfolk,Virginia,301,CAN,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
49,2026,6,1,2601,A,62,MINN,AI,,Williams Arena,Minneapolis,Minnesota,137,SBON,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
50,2026,6,1,2601,A,56,MEMP,AI,,FedExForum,Memphis,Tennessee,95,USM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
51,2026,6,1,2601,A,197,SJU,SyndaKyt,,Madison Square Garden[d],Queens,NY,73,NIU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
52,2026,6,1,2601,A,259,COFC,CRMO15,,TD Arena,Charleston,SC,305,HOW,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
53,2026,6,1,2601,A,342,BCU,AI,,Moore Gymnasium,Daytona Beach,FL,309,DSU,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
54,2026,6,1,2601,A,111,UCLA,jmjacobs,,Pauley Pavilion,Los Angeles,California,336,AMCC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
55,2026,6,1,2601,A,23,CCU,AI,,HTC Center,Conway,South Carolina,116,UTEP,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
56,2026,6,1,2601,A,45,KSST,florodude,,Bramlage Coliseum,Manhattan,Kansas,26,DUKE,kaydennpierce,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
57,2026,6,1,2601,A,112,CONN,CoachCartier,,Harry A. Gampel Pavilion[e],Storrs[n 5],Connecticut,254,PRE,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
58,2026,6,1,2601,A,262,ELON,AI,,Schar Center,Elon,NC,51,LT,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
59,2026,6,1,2601,A,257,UPST,Viselli,,G. B. Hodge Center,Spartanburg,SC,178,UIC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
60,2026,6,1,2601,A,75,ND,Tarheelguy43,,Edmund P. Joyce Center,South Bend,Indiana,184,FOR,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
61,2026,6,1,2601,A,151,CARK,AI,,Farris Center,Conway,AR,206,HALL,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
62,2026,6,1,2601,A,308,COPP,AI,,Physical Education Complex,Baltimore,MD,21,CINC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
63,2026,6,1,2601,A,223,ACU,ArmTheSharks,,Moody Coliseum,Abilene,TX,338,LAM,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
64,2026,6,1,2601,A,205,SCU,chaserck,,Leavey Center,Santa Clara,CA,300,NIA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
65,2026,6,1,2601,A,59,MICH,fjames92,,Crisler Center,Ann Arbor,Michigan,228,UTA,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
66,2026,6,1,2601,A,89,SDSU,EmeraldSeasSunshine,,Viejas Arena,San Diego,California,87,RICE,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
67,2026,6,1,2601,A,90,SJSU,Chandler1,,Provident Credit Union Event Center,San Jose,California,71,UNC,AI,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
