id,player_id,first_name,last_name,position,archetype,team_id,team_abbr,age,year,state,country,height,stars,overall,finishing,shooting2,shooting3,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,potential_grade,pro_potential_grade,stamina,playtime_expectations,minutes,potential,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,personality,free_agency,recruiting_bias,work_ethic,academic_bias,is_redshirt,is_redshirting,has_graduated,has_progressed,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,inside_proportion,mid_range_proportion,three_point_proportion,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,will_declare,previous_team_id,previous_team,will_transfer,leaving_status,transfer_status,transfer_likeliness,recruiting_bias_value,legacy_id,relative_id,notes,relative_type,created_at,updated_at,deleted_at,defense
0,0,,,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,33,0,0,0,0,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,PG,,,33,0,0,0,0,,NULL,NULL,0,,,0,0,,0,"2024-04-24 18:35:26.185","2024-04-24 18:35:26.185",NULL,0
14,14,Doyle,Gibbs,SG,"Dunk Specialist",141,FGCU,22,4,Massachusetts,USA,6-4,2,50,12,15,10,10,11,9,7,7,B-,88,47,8,38,69,11,12,0,,,0,0,Average,Average,Open-Minded,"Film Room Genius","Didn't come here to play school",0,0,0,1,0,1,1,0,1,0,0,0,3,5.647237995422929,7.990484484186827,4.735053492762744,PG,SG,,25,13,0,0,127,WKU,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:44:41.538","2025-12-11 23:20:29.197",NULL,0
67,67,Matthew,Cooper,SF,"Pure Defender",107,TLNE,22,4,Florida,USA,6-5,4,67,12,15,22,14,9,11,19,18,B,82,41,16,41,74,6,14,0,,,0,0,Average,"Hates Tags",Average,Average,Average,0,0,0,1,0,1,0,0,0,0,0,0,1,5.0731875356054745,7.703240992152195,5.857595367236511,PF,SF,,25,16,0,0,0,,0,,0,,0,0,0,,0,"2023-04-17 23:40:47.871","2025-12-19 10:00:08.562",NULL,0
92,92,Gary,Howard,PG,"Sharp Shooter",165,UV,22,4,Ohio,USA,6-0,2,48,10,12,13,19,7,4,15,12,A-,41,40,4,0,67,9,10,0,,,0,0,Cooperative,"Championship seeking",Average,"Track Athlete",Average,0,0,0,1,0,0,1,1,0,0,1,0,3,0,0,0,,,,0,0,0,0,204,SF,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:57:25.929","2025-12-13 10:00:43.811",NULL,0
144,144,Troy,Murphy,PG,"Floor General",41,IND,22,4,Illinois,USA,6-2,3,62,13,13,14,4,25,5,8,11,A+,95,40,8,40,91,15,9,0,,,0,0,Stoic,"Money motivated","Prefers to play in a different state",Complacent,"Sits at the front of the class",0,0,0,1,1,1,0,0,1,0,0,0,3,6.9155918882206375,6.121366740538549,5.054580732139078,PG,SG,,29,11,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:27:57.323","2025-12-12 10:00:18.425",NULL,0
182,182,Gabriel,Glover,PG,"Floor General",14,BC,22,4,"New York",USA,6-4,3,61,13,13,12,22,18,7,8,8,A+,90,47,10,41,88,13,9,0,,,0,0,Average,Average,Average,"Center of Attention",Average,0,0,0,1,0,0,0,1,0,0,0,0,1,5.485095038609739,7.207078279629417,2.877487477841955,PG,SG,,11,30,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:22:17.847","2026-02-14 22:00:40.216",NULL,0
250,250,Clair,Delossantos,PF,"Point Forward",360,SFPA,23,5,"New Jersey",USA,6-6,2,53,12,13,11,9,17,6,6,8,A-,0,42,1,39,91,10,14,0,,,0,0,Average,"Hates Tags",Average,Average,"Frequent visits to the principal",1,0,0,1,1,0,0,1,0,0,0,0,2,2.568300348841225,2.390429183275799,10.338743111380756,SF,PF,,29,10,0,0,126,WVU,0,,0,,0,0,0,,0,"2022-10-06 15:26:09.669","2025-12-13 10:01:00.544",NULL,5
260,260,Brian,Jones,PF,"Pure Defender",70,NMSU,22,4,California,USA,6-8,2,49,6,6,16,7,6,16,13,12,A-,12,44,7,19,72,12,14,0,,,0,0,Motivation,Average,Open-Minded,Average,"Didn't come here to play school",0,0,0,1,1,1,0,0,0,1,0,0,3,2.0787794275632896,2.371237198235082,2.7416027236515363,PF,SF,,17,2,0,0,133,USD,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:50:13.767","2025-12-13 10:00:12.132",NULL,0
286,286,Rene,Armstrong,C,,4,APST,22,4,Florida,USA,6-11,2,49,18,11,8,14,3,6,12,11,A-,7,46,4,39,68,12,3,0,,,0,0,Perfectionist,"I'm the starter",Average,Average,Average,0,0,0,1,0,0,0,0,0,0,0,0,0,8.112374343276697,6.0522072120953565,2.8357302413078807,PF,C,,11,28,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:20:10.133","2026-02-14 22:00:17.773",NULL,0
299,299,Raymond,Walker,PG,"Mid-Range Magician",18,CAL,22,4,California,USA,6-3,3,59,9,22,17,21,17,8,5,5,A-,29,37,7,37,76,10,14,0,,,0,0,Average,Average,"Prefers to be close to home","Center of Attention","Class Clown",0,0,0,1,0,0,0,0,0,0,0,0,0,3.7295994527089986,11.251537809204164,3.926246998435461,PG,SG,,25,12,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:23:09.277","2026-02-14 22:00:49.001",NULL,0
312,312,Robin,Wood,SF,"Pure Defender",143,UNOM,22,4,Florida,USA,6-6,3,68,9,10,16,9,14,19,12,19,B+,0,33,8,32,86,4,14,0,,,0,0,Cooperative,"Hometown hero",Average,Average,Average,0,0,0,1,0,0,0,0,0,1,0,0,1,6.56218529800388,5.884221908405269,4.175117658611877,PF,SF,,26,6,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2022-10-06 15:27:22.921","2025-12-11 23:20:46.361",NULL,14
313,313,Martin,Price,SG,"Mid-Range Magician",188,LUC,22,4,Florida,USA,6-3,1,53,15,12,11,15,17,4,4,6,A-,0,48,1,0,82,14,11,0,,,0,0,Average,Average,"Prefers to play for a specific coach",Quiet,Tutor,0,0,0,1,1,0,1,0,1,0,0,0,3,0,0,0,,,,0,0,0,0,98,TCU,NULL,NULL,0,,"Barry Fincher",0,0,,0,"2022-10-06 15:27:24.166","2026-01-28 16:00:44.213",NULL,1
314,314,Vernon,Rogers,C,"Stretch Bigs",360,SFPA,22,4,,"South Africa",6-10,3,51,15,6,12,10,5,11,9,14,C+,0,40,10,0,65,13,10,0,,,0,0,Flamboyant,Average,Average,"Skips Leg Day",Average,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,,,,0,0,0,0,143,UNOM,NULL,NULL,0,,0,0,0,,0,"2022-10-06 15:27:25.428","2025-12-13 10:01:01.314",NULL,11
315,315,Otis,Grant,PF,"Point Forward",143,UNOM,22,4,Missouri,USA,6-5,2,54,9,12,12,14,13,11,9,9,A+,0,38,8,35,93,9,13,0,,,0,0,Eccentric,Average,Open-Minded,"Track Athlete",Average,0,0,0,1,0,1,0,0,0,1,0,0,2,7.467314304625103,8.92778496447696,2.6724352254476886,C,PF,,25,10,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2022-10-06 15:27:26.705","2025-12-11 23:20:50.447",NULL,6
325,325,Jason,Flores,C,"Rim Protector",24,COLO,22,4,Iowa,USA,6-9,4,65,8,11,11,11,13,18,15,16,B-,48,43,17,25,73,13,4,0,,,0,0,Average,Average,Average,Quiet,Average,1,0,0,1,0,1,0,0,1,1,1,1,5,1,1,1,C,PF,,15,10,0,0,0,,0,,0,Medium,0,0,0,,0,"2023-04-17 23:24:34.529","2026-01-14 19:55:41.583",NULL,0
326,326,Bret,Jernigan,C,"Rim Protector",89,SDSU,22,4,Pennsylvania,USA,6-10,3,54,12,4,6,1,10,17,15,10,B+,91,39,10,0,74,9,12,0,,,0,0,Average,Average,Average,Average,Average,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,,,,0,0,0,0,106,TROY,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:36:06.090","2026-01-07 22:23:04.407",NULL,0
327,327,Adam,Chapman,SF,,26,DUKE,22,4,,Australia,6-8,3,61,11,18,16,18,14,9,11,9,A,9,43,10,27,88,15,7,0,,,0,0,Stoic,Average,Average,Persistant,Average,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4426848609859917,5.497532431866265,2.5032065245897988,PF,,,27,0,0,0,62,MINN,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:32:00.143","2025-12-12 10:00:15.052",NULL,0
391,391,Isaiah,Sisco,PF,Slasher,360,SFPA,23,5,California,USA,6-6,2,48,10,11,4,15,6,13,10,9,A,0,43,4,0,77,11,12,0,,,0,0,Motivation,"Championship seeking",Average,Average,Average,1,0,0,1,0,0,1,1,1,1,0,1,5,0,0,0,,,,0,0,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2022-10-06 15:29:01.218","2025-12-13 10:01:01.228",NULL,10
418,418,Mauricio,Welsh,C,"Stretch Bigs",350,TXSO,23,5,Virginia,USA,6-9,2,45,14,10,10,13,2,9,8,10,B,0,44,1,0,78,13,12,0,,,0,0,Average,Average,Average,"Film Room Genius",Average,1,0,0,1,0,1,0,0,1,0,1,1,4,0,0,0,C,,,0,0,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2022-10-06 15:29:35.184","2026-01-28 16:00:55.063",NULL,10
433,433,Doug,Parks,SF,,27,ECU,22,4,"North Carolina",USA,6-8,4,70,10,19,12,23,11,13,19,17,A,30,38,11,38,80,12,4,0,,,0,0,Average,Average,"Prefers to play for an up-and-coming team",Persistant,"Loves Learning",0,0,0,1,0,0,0,1,0,0,1,0,2,4.615335133122544,11.771369789687197,3.0823446894766464,SG,SF,,26,12,0,0,0,,NULL,NULL,0,,0,0,0,,0,"2023-04-17 23:25:15.735","2025-12-13 22:00:24.888",NULL,0
434,434,Edward,Sanchez,SG,,111,UCLA,22,4,,Canada,6-4,4,62,14,14,20,15,17,7,8,8,A-,32,40,14,0,85,11,12,0,,,0,0,Disloyal,"Will eventually play for LeBron",Average,"Skips Leg Day",Average,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG,,,0,0,0,0,107,TLNE,0,,0,,0,0,0,,0,"2023-04-17 23:40:47.444","2026-01-07 22:23:14.611",NULL,0
