id,first_name,last_name,position,age,year,team_id,team_abbr,state,country,stars,height,shooting2,shooting3,finishing,ballwork,rebounding,defense,potential,potential_grade,pro_potential_grade,stamina,playtime_expectations,minutes,overall,personality,free_agency,recruiting_bias,work_ethic,academic_bias,player_id,is_redshirt,is_redshirting,has_graduated,has_progressed,created_at,updated_at,deleted_at,free_throw,interior_defense,perimeter_defense,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,archetype,inside_proportion,mid_range_proportion,three_point_proportion,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,will_declare,previous_team_id,previous_team,will_transfer,leaving_status,transfer_status,transfer_likeliness,recruiting_bias_value,legacy_id,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type
4,Roger,Turner,C,0,4,131,UMBC,Georgia,USA,4,6-9,8,12,17,10,19,17,75,,0,40,13,0,73,Impatient,Average,"Prefers to play for a team where he can start immediately",Average,Average,4,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Dario,Adame,F,1,5,131,UMBC,"Puerto Rico",USA,2,6-5,9,12,15,13,14,10,77,,0,40,8,0,62,"Book Worm","I'm the starter",Average,Persistant,"Wants to finish degree",5,0,0,1,1,"2022-10-06 15:21:11.783","2022-10-06 21:34:28.119",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Samual,Shank,G,0,4,131,UMBC,"South Carolina",USA,2,6-2,11,15,8,18,8,11,75,,0,38,12,0,58,Average,"Wants extensions",Average,Average,Average,6,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Chang,Berger,PG,23,5,131,UMBC,Virginia,USA,2,5-9,21,20,10,11,15,3,75,B+,0,42,4,10,59,Average,Average,"Prefers to play for a team where he can start immediately","Track Athlete",Distracted,7,0,0,1,1,"2022-10-06 15:21:14.437","2023-04-17 23:49:48.937",NULL,20,3,3,0,0,0,0,0,0,0,0,0,"Sharp Shooter",0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Carl,Jenkins,PF,23,5,131,UMBC,California,USA,2,6-6,14,13,12,17,15,8,90,A-,0,37,4,30,66,Eccentric,"Money motivated",Average,Average,"Has other priorities",8,0,0,1,1,"2022-10-06 15:21:15.688","2023-04-17 23:49:45.630",NULL,12,9,10,1,0,0,1,1,1,1,1,6,All-Around,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Jack,Long,PF,23,5,131,UMBC,Virginia,USA,2,6-7,17,9,17,8,17,8,86,A-,0,40,10,32,65,Average,Average,"Prefers to play in a different state",Complacent,"Never Studies",9,0,0,1,1,"2022-10-06 15:21:16.936","2023-04-17 23:49:47.288",NULL,19,8,8,0,0,0,0,0,0,0,0,0,,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Paul,Martinez,PG,23,5,131,UMBC,Texas,USA,3,6-1,13,9,13,20,7,13,83,A-,0,37,13,34,70,Introvert,Average,Average,Average,Average,10,0,0,0,0,"2024-03-20 15:10:36.249","2024-03-20 15:10:36.249",NULL,13,18,20,0,0,0,0,0,0,1,1,2,"Floor General",6,6,0,PG,,,34,0,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,Blair,Stiles,SG,23,5,131,UMBC,California,USA,4,6-2,20,22,14,21,10,4,83,A-,0,40,8,38,69,Average,"Will eventually play for LeBron",Average,Average,Average,11,0,0,0,0,"2024-03-20 15:59:45.007","2024-03-20 15:59:45.007",NULL,20,1,7,0,0,0,0,0,0,0,0,0,"Mid-Range Magician",0,15,15,SF,,,38,0,0,0,0,,NULL,NULL,0,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Leonardo,Fredrickson,PF,24,6,131,UMBC,Washington,USA,2,6-5,20,15,19,8,21,9,92,A-,0,42,5,40,77,Reserved,"I'm the starter","Prefers to play in a different state",Complacent,Tutor,12,0,0,0,0,"2025-02-18 00:03:06.211","2025-02-18 00:03:06.211",NULL,16,14,10,1,1,1,0,0,1,0,1,5,"Two-Way Wing",0,15,0,PF,,,40,0,0,0,0,,NULL,NULL,0,,0,0,8,8,0,,,0,0,0,,0
13,Theo,Rinehart,PG,23,5,131,UMBC,Arkansas,USA,3,6-4,11,14,10,21,1,10,65,B-,0,35,3,0,57,Outgoing,Average,Average,Persistant,"Didn't come here to play school",13,0,0,0,0,"2025-02-18 00:03:08.024","2025-02-18 00:03:08.024",NULL,9,11,17,0,0,0,1,0,0,0,1,2,"Floor General",0,0,0,PG,,,0,0,0,0,0,,NULL,NULL,0,,0,0,11,11,0,,,0,0,0,,0
