id,player_id,team_id,team_abbr,first_name,last_name,position,archetype,age,year,height,overall,shooting2,shooting3,finishing,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,potential_grade,pro_potential_grade,stamina,playtime_expectations,personality,free_agency,recruiting_bias,work_ethic,academic_bias,college_id,college,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,prime_age,is_free_agent,is_nba,is_g_league,is_two_way,is_waived,is_on_trade_block,is_first_team_anba,is_dpoy,is_mvp,is_international,is_super_max_qualified,max_requested,is_retiring,inside_proportion,mid_range_proportion,three_point_proportion,minutes,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,state,country,potential,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,drafted_round,previous_team_id,previous_team,is_accepting_offers,is_negotiating,minimum_value,signing_round,negotiation_round,recruiting_bias_value,has_progressed,rejections,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,notes,relative_type,created_at,updated_at,deleted_at,stars,defense,is_int_generated,is_int_declared
4,4,3,BOS,Roger,Turner,C,"Stretch Bigs",27,5,6'9,97,15,23,20,9,12,25,26,25,B,65,45,25,Average,"Drafted team discount",,Loud,,131,UMBC,0,0,151,DEN,28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,C,,0,0,0,,Montenegro,65,1,1,0,0,0,0,0,0,2,0,0,,0,0,20,7,6,,1,0,14,9,0,,,0,0,0,,0,"2023-01-05 19:15:04.597","2026-02-15 19:02:47.548",NULL,0,18,0,0
6,6,0,FA,Samual,Shank,PG,,27,5,6'2,60,12,15,11,14,13,10,9,18,C-,39,43,16,Average,Average,,Average,,131,UMBC,0,0,0,FA,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,Cyprus,39,0,0,0,0,1,0,0,1,2,0,12,"Indiana Pacers",1,0,1.9,6,5,,1,0,10,14,0,,,0,0,0,,0,"2023-01-05 19:18:37.630","2026-02-15 19:02:51.194",NULL,0,12,0,0
7,7,0,FA,Chang,Berger,PG,"Sharp Shooter",26,3,5-9,66,21,24,12,21,10,19,3,4,B-,50,48,11,Average,Average,"Prefers to play for a team where he can start immediately","Track Athlete",Distracted,131,UMBC,0,0,0,,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,SG,,0,0,0,Virginia,USA,75,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,4,3,,1,0,10,7,0,,,0,0,0,,0,"2023-08-19 22:53:10.187","2026-02-15 19:02:51.504",NULL,2,0,0,0
8,8,0,FA,Carl,Jenkins,PF,All-Around,26,3,6-6,83,16,12,12,15,23,20,14,15,C+,47,47,13,Eccentric,Average,Average,Average,"Has other priorities",131,UMBC,0,0,0,,28,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PF,SF,,0,0,0,California,USA,90,1,0,0,1,1,1,1,1,0,0,0,,1,0,10,4,3,,1,0,7,13,0,,,0,0,0,,0,"2023-08-19 22:53:10.456","2026-02-15 19:02:51.823",NULL,2,0,0,0
9,9,0,FA,Jack,Long,PF,,26,3,6-7,73,18,11,18,24,10,17,13,10,B+,54,48,17,Average,Average,"Prefers to play in a different state",Complacent,"Never Studies",131,UMBC,0,0,0,,27,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SF,PF,,0,0,0,Virginia,USA,86,0,0,0,0,0,0,0,0,0,0,0,,1,0,1.7,5,4,,1,0,10,11,0,,,0,0,0,,0,"2023-08-19 22:53:10.735","2026-02-15 19:02:52.134",NULL,2,0,0,0
10,10,0,FA,Paul,Martinez,PG,"Floor General",25,2,6-1,72,13,9,13,14,20,7,18,23,D,20,41,17,Introvert,Average,Average,Average,Average,131,UMBC,0,0,0,,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Texas,USA,83,0,0,0,0,0,0,1,1,0,0,0,,1,0,1.6,4,3,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:13.276","2026-02-15 19:02:52.449",NULL,3,0,0,0
11,11,16,MIA,Blair,Stiles,SG,"Mid-Range Magician",25,2,6-2,73,20,25,15,21,21,11,1,7,A+,77,46,13,Average,"Will eventually play for LeBron",Average,Average,Average,131,UMBC,0,0,0,,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SF,SG,SG,0,0,0,California,USA,83,0,0,0,0,0,0,0,0,0,0,19,NOP,0,0,1.6,4,3,,1,0,0,0,0,,,0,0,0,,0,"2024-07-01 14:47:14.772","2026-02-15 19:02:52.775",NULL,4,0,0,0
12,12,30,UTA,Leonardo,Fredrickson,PF,"Two-Way Wing",25,1,6-5,83,21,16,20,16,8,25,14,13,A-,80,46,0,Reserved,"I'm the starter","Prefers to play in a different state",Complacent,Tutor,131,UMBC,0,37,18,"Minnesota Timberwolves",29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Washington,USA,92,1,1,1,0,0,1,0,1,0,2,18,"Minnesota Timberwolves",0,0,10,0,0,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:28:33.192","2026-02-15 19:02:53.093",NULL,2,0,0,0
13,13,0,FA,Theo,Rinehart,PG,"Floor General",24,1,6-4,57,11,14,10,10,21,1,11,18,D,26,37,0,Outgoing,Average,Average,Persistant,"Didn't come here to play school",131,UMBC,0,0,0,,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,Arkansas,USA,65,0,0,0,1,0,0,0,1,0,0,0,,1,0,1.5,7,4,,1,0,0,0,0,,,0,0,0,,0,"2025-05-24 14:29:04.585","2026-02-15 19:02:53.398",NULL,3,0,0,0
17,17,29,"Toronto Raptors",Lynwood,Funk,PG,,27,5,6'4,92,11,22,17,20,23,18,15,19,B-,62,45,14,Disruptive,Average,,"Footwork king",,132,WICH,0,0,158,MEM,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,,,0,0,0,,Argentina,62,0,1,1,0,1,0,0,0,3,0,158,MEM,0,0,20,6,5,,1,0,9,11,0,,,0,0,0,,0,"2023-01-05 19:17:15.388","2026-02-15 19:02:53.711",NULL,0,12,0,0
