id,season,week,home_team_id,away_team_id,match_of_week,isPreseason
,2026,0,1,7,A,1
,2026,0,2,8,A,1
,2026,0,3,10,A,1
,2026,0,4,11,A,1
,2026,0,5,13,A,1
,2026,0,6,14,A,1
,2026,0,9,18,A,1
,2026,0,12,19,A,1
,2026,0,15,21,A,1
,2026,0,16,24,A,1
,2026,0,17,25,A,1
,2026,0,20,26,A,1
,2026,0,22,27,A,1
,2026,0,23,28,A,1
,2026,0,29,30,A,1
,2026,0,32,31,A,1
,2026,0,13,1,B,1
,2026,0,14,2,B,1
,2026,0,18,3,B,1
,2026,0,19,4,B,1
,2026,0,21,5,B,1
,2026,0,24,6,B,1
,2026,0,25,9,B,1
,2026,0,26,12,B,1
,2026,0,27,15,B,1
,2026,0,28,16,B,1
,2026,0,30,17,B,1
,2026,0,31,20,B,1
,2026,0,7,22,B,1
,2026,0,8,23,B,1
,2026,0,10,29,B,1
,2026,0,11,32,B,1
,2026,0,1,21,C,1
,2026,0,2,24,C,1
,2026,0,3,25,C,1
,2026,0,4,26,C,1
,2026,0,5,27,C,1
,2026,0,6,28,C,1
,2026,0,9,30,C,1
,2026,0,12,31,C,1
,2026,0,15,7,C,1
,2026,0,16,8,C,1
,2026,0,17,10,C,1
,2026,0,20,11,C,1
,2026,0,22,13,C,1
,2026,0,23,14,C,1
,2026,0,29,18,C,1
,2026,0,32,19,C,1
,2026,0,27,1,D,1
,2026,0,28,2,D,1
,2026,0,30,3,D,1
,2026,0,31,4,D,1
,2026,0,7,5,D,1
,2026,0,8,6,D,1
,2026,0,10,9,D,1
,2026,0,11,12,D,1
,2026,0,13,15,D,1
,2026,0,14,16,D,1
,2026,0,18,17,D,1
,2026,0,19,20,D,1
,2026,0,21,22,D,1
,2026,0,24,23,D,1
,2026,0,25,29,D,1
,2026,0,26,32,D,1
