 (18 games),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,,,,
"Mountain West, Ohio Valley, Southland",,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,,,Week,Home,Away
1,Team1,Team1,,1,6A,Team10,@ Team5,Team6,@ Team7,Team2,@ Team3,Team4,@ Team11,OPEN,@ Team1,Team8,,1,6A,Team1,Team10
2,Team2,Team2,,2,6B,OPEN,@ Team8,@ Team10,Team5,@ Team4,Team11,Team9,Team2,@ Team7,Team3,@ Team6,,1,6A,Team5,Team2
3,Team3,Team3,,3,7A,@ Team5,Team3,@ Team2,OPEN,Team1,@ Team9,@ Team8,Team7,Team6,Team11,@ Team10,,1,6A,Team3,Team6
4,Team4,Team4,,4,7B,Team8,OPEN,@ Team5,@ Team11,Team3,Team7,@ Team6,@ Team1,Team10,@ Team9,Team4,,1,6A,Team7,Team4
5,Team5,Team5,,5,8A,@ Team3,Team9,Team1,Team8,@ Team7,Team10,Team5,@ Team4,@ Team2,@ Team6,OPEN,,1,6A,Team11,Team8
6,Team6,Team6,,6,8B,Team6,Team7,Team9,@ Team10,@ Team11,@ Team1,@ Team2,OPEN,@ Team3,Team4,Team5,,2,6B,Team8,Team2
7,Team7,Team7,,7,9A,@ Team9,@ Team4,OPEN,Team2,@ Team10,@ Team8,Team11,Team6,Team1,Team5,@ Team7,,2,6B,Team10,Team3
8,Team8,Team8,,8,9B,@ Team4,Team10,@ Team11,Team1,@ Team6,Team5,OPEN,Team9,@ Team8,@ Team2,Team3,,2,6B,Team4,Team5
9,Team9,Team9,,9,10A,Team11,@ Team6,Team7,@ Team9,OPEN,Team2,@ Team3,@ Team10,Team4,Team8,@ Team1,,2,6B,Team6,Team11
10,Team10,Team10,,10,10B,@ Team2,Team1,@ Team4,Team3,Team8,OPEN,Team10,@ Team5,Team11,@ Team7,@ Team9,,2,6B,Team7,Team9
11,Team11,Team11,,11,11A,Team7,@ Team3,Team2,@ Team8,@ Team9,@ Team11,@ Team1,Team4,Team5,OPEN,Team6,,3,7A,Team5,Team1
,,,,12,11B,Team4,@ Team10,Team8,@ Team1,Team7,Team9,@ Team5,@ Team3,@ Team6,Team2,OPEN,,3,7A,Team2,Team3
,,,,13,12A,@ Team8,OPEN,@ Team7,Team9,Team6,@ Team5,Team3,Team1,@ Team4,@ Team11,Team10,,3,7A,Team9,Team6
