1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,,,,Week,Home,Away
1,Team1,Team1,,1,6A,Team12,Team11,Team10,Team9,Team8,Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team1,,,1,6A,Team1,Team12
2,Team2,Team2,,2,6B,@ Team11,@ Team9,@ Team8,@ Team7,@ Team6,Team5,Team4,Team3,Team2,Team12,Team1,@ Team10,,,1,6A,Team2,Team11
3,Team3,Team3,,3,7A,Team10,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,@ Team12,@ Team11,@ Team1,Team9,Team8,,,1,6A,Team3,Team10
4,Team4,Team4,,4,7B,@ Team9,@ Team5,@ Team4,Team3,Team2,Team12,Team11,Team10,Team1,@ Team8,@ Team7,@ Team6,,,1,6A,Team4,Team9
5,Team5,Team5,,5,8A,Team8,Team3,@ Team2,@ Team12,@ Team11,@ Team10,@ Team9,@ Team1,Team7,Team6,Team5,Team4,,,1,6A,Team5,Team8
6,Team6,Team6,,6,8B,@ Team7,Team12,Team11,Team10,Team9,Team8,Team1,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,,,1,6A,Team6,Team7
7,Team7,Team7,,7,9A,Team6,@ Team10,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,Team2,Team12,@ Team11,,,2,6B,Team11,Team1
8,Team8,Team8,,8,9B,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,@ Team12,@ Team11,Team10,Team9,,,2,6B,Team9,Team2
9,Team9,Team9,,9,10A,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,Team12,Team11,Team10,@ Team9,@ Team8,@ Team7,,,2,6B,Team8,Team3
10,Team10,Team10,,10,10B,@ Team3,Team4,Team1,@ Team2,@ Team12,@ Team11,@ Team10,@ Team9,Team8,Team7,Team6,Team5,,,2,6B,Team7,Team4
11,Team11,Team11,,11,11A,Team2,@ Team1,Team12,Team11,Team10,Team9,Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,,,2,6B,Team6,Team5
12,Team12,Team12,,12,11B,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,@ Team7,Team6,Team5,Team4,Team3,Team2,Team1,,,2,6B,Team10,Team12
,,,,13,12A,Team11,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team12,@ Team1,Team10,,,3,7A,Team1,Team10
,Mississippi Valley State,MSVU,,14,12B,@ Team10,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team12,Team11,Team1,@ Team9,@ Team8,,,3,7A,Team2,Team7
,Texas Southern,TXSO,,15,13A,Team9,Team5,Team4,@ Team3,@ Team2,@ Team12,@ Team11,@ Team10,@ Team1,Team8,Team7,Team6,,,3,7A,Team3,Team6
,Grambling,GRAM,,16,13B,@ Team8,@ Team3,Team2,Team12,Team11,Team10,Team9,Team1,@ Team7,@ Team6,@ Team5,@ Team4,,,3,7A,Team4,Team5
,Alabama State,ALST,,17,14A,Team7,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,@ Team1,Team6,Team5,Team4,Team3,Team2,,,3,7A,Team12,Team8
,Florida A&M,FAMU,,18,14B,@ Team6,Team10,Team9,Team8,Team7,Team1,@ Team5,@ Team4,@ Team3,@ Team2,@ Team12,Team11,,,3,7A,Team11,Team9
,Southern,SOU,,19,15A,Team5,@ Team8,@ Team7,@ Team6,@ Team1,Team4,Team3,Team2,Team12,Team11,@ Team10,@ Team9,,,4,7B,Team9,Team1
,Bethune-Cookman,BCU,,20,15B,@ Team4,Team6,Team5,Team1,@ Team3,@ Team2,@ Team12,@ Team11,@ Team10,Team9,Team8,Team7,,,4,7B,Team5,Team2
,Jackson State,JXST,,,,,,,,,,,,,,,,,,4,7B,Team4,Team3
,Arkansas-Pine Bluff,UAPB,,,,,,,,,,,,,,,,,,4,7B,Team6,Team12
,Prairie View A&M,PV,,,,,,,,,,,,,,,,,,4,7B,Team7,Team11
,Alcorn State,ALCN,,,,,,,,,,,,,,,,,,4,7B,Team8,Team10
,Alabama A&M,AAMU,,,,,,,,,,,,,,,,,,5,8A,Team1,Team8
,,,,,,,,,,,,,,,,,,,,5,8A,Team2,Team3
,,,,,,,,,,,,,,,,,,,,5,8A,Team12,Team4
,,,,,,,,,,,,,,,,,,,,5,8A,Team11,Team5
,,,,,,,,,,,,,,,,,,,,5,8A,Team10,Team6
,,,,,,,,,,,,,,,,,,,,5,8A,Team9,Team7
,,,,,,,,,,,,,,,,,,,,6,8B,Team7,Team1
,,,,,,,,,,,,,,,,,,,,6,8B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,6,8B,Team3,Team11
,,,,,,,,,,,,,,,,,,,,6,8B,Team4,Team10
,,,,,,,,,,,,,,,,,,,,6,8B,Team5,Team9
,,,,,,,,,,,,,,,,,,,,6,8B,Team6,Team8
,,,,,,,,,,,,,,,,,,,,7,9A,Team1,Team6
,,,,,,,,,,,,,,,,,,,,7,9A,Team10,Team2
,,,,,,,,,,,,,,,,,,,,7,9A,Team9,Team3
,,,,,,,,,,,,,,,,,,,,7,9A,Team8,Team4
,,,,,,,,,,,,,,,,,,,,7,9A,Team7,Team5
,,,,,,,,,,,,,,,,,,,,7,9A,Team11,Team12
,,,,,,,,,,,,,,,,,,,,8,9B,Team5,Team1
,,,,,,,,,,,,,,,,,,,,8,9B,Team2,Team8
,,,,,,,,,,,,,,,,,,,,8,9B,Team3,Team7
,,,,,,,,,,,,,,,,,,,,8,9B,Team4,Team6
,,,,,,,,,,,,,,,,,,,,8,9B,Team12,Team9
,,,,,,,,,,,,,,,,,,,,8,9B,Team11,Team10
,,,,,,,,,,,,,,,,,,,,9,10A,Team1,Team4
,,,,,,,,,,,,,,,,,,,,9,10A,Team6,Team2
,,,,,,,,,,,,,,,,,,,,9,10A,Team5,Team3
,,,,,,,,,,,,,,,,,,,,9,10A,Team7,Team12
,,,,,,,,,,,,,,,,,,,,9,10A,Team8,Team11
,,,,,,,,,,,,,,,,,,,,9,10A,Team9,Team10
,,,,,,,,,,,,,,,,,,,,10,10B,Team3,Team1
,,,,,,,,,,,,,,,,,,,,10,10B,Team2,Team4
,,,,,,,,,,,,,,,,,,,,10,10B,Team12,Team5
,,,,,,,,,,,,,,,,,,,,10,10B,Team11,Team6
,,,,,,,,,,,,,,,,,,,,10,10B,Team10,Team7
,,,,,,,,,,,,,,,,,,,,10,10B,Team9,Team8
,,,,,,,,,,,,,,,,,,,,11,11A,Team1,Team2
,,,,,,,,,,,,,,,,,,,,11,11A,Team3,Team12
,,,,,,,,,,,,,,,,,,,,11,11A,Team4,Team11
,,,,,,,,,,,,,,,,,,,,11,11A,Team5,Team10
,,,,,,,,,,,,,,,,,,,,11,11A,Team6,Team9
,,,,,,,,,,,,,,,,,,,,11,11A,Team7,Team8
,,,,,,,,,,,,,,,,,,,,12,11B,Team12,Team1
,,,,,,,,,,,,,,,,,,,,12,11B,Team11,Team2
,,,,,,,,,,,,,,,,,,,,12,11B,Team10,Team3
,,,,,,,,,,,,,,,,,,,,12,11B,Team9,Team4
,,,,,,,,,,,,,,,,,,,,12,11B,Team8,Team5
,,,,,,,,,,,,,,,,,,,,12,11B,Team7,Team6
,,,,,,,,,,,,,,,,,,,,13,12A,Team1,Team11
,,,,,,,,,,,,,,,,,,,,13,12A,Team2,Team9
,,,,,,,,,,,,,,,,,,,,13,12A,Team3,Team8
,,,,,,,,,,,,,,,,,,,,13,12A,Team4,Team7
,,,,,,,,,,,,,,,,,,,,13,12A,Team5,Team6
,,,,,,,,,,,,,,,,,,,,13,12A,Team12,Team10
,,,,,,,,,,,,,,,,,,,,14,12B,Team10,Team1
,,,,,,,,,,,,,,,,,,,,14,12B,Team7,Team2
,,,,,,,,,,,,,,,,,,,,14,12B,Team6,Team3
,,,,,,,,,,,,,,,,,,,,14,12B,Team5,Team4
,,,,,,,,,,,,,,,,,,,,14,12B,Team8,Team12
,,,,,,,,,,,,,,,,,,,,14,12B,Team9,Team11
,,,,,,,,,,,,,,,,,,,,15,13A,Team1,Team9
,,,,,,,,,,,,,,,,,,,,15,13A,Team2,Team5
,,,,,,,,,,,,,,,,,,,,15,13A,Team3,Team4
,,,,,,,,,,,,,,,,,,,,15,13A,Team6,Team12
,,,,,,,,,,,,,,,,,,,,15,13A,Team11,Team7
,,,,,,,,,,,,,,,,,,,,15,13A,Team10,Team8
,,,,,,,,,,,,,,,,,,,,16,13B,Team8,Team1
,,,,,,,,,,,,,,,,,,,,16,13B,Team3,Team2
,,,,,,,,,,,,,,,,,,,,16,13B,Team4,Team12
,,,,,,,,,,,,,,,,,,,,16,13B,Team5,Team11
,,,,,,,,,,,,,,,,,,,,16,13B,Team10,Team6
,,,,,,,,,,,,,,,,,,,,16,13B,Team7,Team9
,,,,,,,,,,,,,,,,,,,,17,14A,Team1,Team7
,,,,,,,,,,,,,,,,,,,,17,14A,Team12,Team2
,,,,,,,,,,,,,,,,,,,,17,14A,Team11,Team3
,,,,,,,,,,,,,,,,,,,,17,14A,Team10,Team4
,,,,,,,,,,,,,,,,,,,,17,14A,Team9,Team5
,,,,,,,,,,,,,,,,,,,,17,14A,Team6,Team8
,,,,,,,,,,,,,,,,,,,,18,14B,Team6,Team1
,,,,,,,,,,,,,,,,,,,,18,14B,Team2,Team10
,,,,,,,,,,,,,,,,,,,,18,14B,Team3,Team9
,,,,,,,,,,,,,,,,,,,,18,14B,Team4,Team8
,,,,,,,,,,,,,,,,,,,,18,14B,Team5,Team7
,,,,,,,,,,,,,,,,,,,,18,14B,Team12,Team11
,,,,,,,,,,,,,,,,,,,,19,15A,Team1,Team5
,,,,,,,,,,,,,,,,,,,,19,15A,Team8,Team2
,,,,,,,,,,,,,,,,,,,,19,15A,Team7,Team3
,,,,,,,,,,,,,,,,,,,,19,15A,Team6,Team4
,,,,,,,,,,,,,,,,,,,,19,15A,Team9,Team12
,,,,,,,,,,,,,,,,,,,,19,15A,Team10,Team11
,,,,,,,,,,,,,,,,,,,,20,15B,Team4,Team1
,,,,,,,,,,,,,,,,,,,,20,15B,Team2,Team6
,,,,,,,,,,,,,,,,,,,,20,15B,Team3,Team5
,,,,,,,,,,,,,,,,,,,,20,15B,Team12,Team7
,,,,,,,,,,,,,,,,,,,,20,15B,Team11,Team8
,,,,,,,,,,,,,,,,,,,,20,15B,Team10,Team9
