 (16 games),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,
"American, MAAC",,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,,,Week,Home,Away
1,Team1,Team1,,1,7A,OPEN,Team3,@ Team2,@ Team13,@ Team6,Team5,Team10,Team11,@ Team12,@ Team7,@ Team8,Team9,Team4,,1,7A,Team2,Team3
2,Team2,Team2,,2,7B,Team11,Team6,Team9,Team10,Team8,@ Team2,Team12,@ Team5,@ Team3,@ Team4,@ Team1,@ Team7,OPEN,,1,7A,Team13,Team4
3,Team3,Team3,,3,8A,@ Team3,@ Team10,Team1,Team7,Team13,Team8,@ Team4,@ Team6,OPEN,Team2,Team12,@ Team11,@ Team5,,1,7A,Team6,Team5
4,Team4,Team4,,4,8B,@ Team9,@ Team13,@ Team11,@ Team8,@ Team12,OPEN,OPEN,Team4,Team1,OPEN,Team3,Team5,Team2,,1,7A,Team7,Team10
5,Team5,Team5,,5,9A,Team13,Team11,Team4,@ Team3,OPEN,@ Team12,@ Team9,@ Team10,Team7,Team8,@ Team2,Team6,@ Team1,,1,7A,Team8,Team11
6,Team6,Team6,,6,9B,@ Team8,Team12,@ Team7,Team5,@ Team4,Team13,Team3,Team1,Team10,@ Team9,OPEN,@ Team2,@ Team6,,1,7A,Team12,Team9
7,Team7,Team7,,7,10A,Team10,OPEN,@ Team13,OPEN,Team6,@ Team5,@ Team12,OPEN,@ Team11,@ Team1,Team9,Team7,Team3,,2,7B,Team1,Team11
8,Team8,Team8,,8,10B,Team5,@ Team6,Team8,@ Team11,@ Team1,Team2,@ Team10,@ Team3,@ Team13,Team7,Team4,OPEN,Team9,,2,7B,Team2,Team6
9,Team9,Team9,,9,11A,@ Team4,@ Team5,OPEN,Team1,Team2,@ Team7,Team6,@ Team13,Team12,Team11,@ Team10,@ Team9,Team8,,2,7B,Team3,Team9
10,Team10,Team10,,10,11B,@ Team12,Team4,@ Team5,@ Team2,Team3,Team11,@ Team8,Team7,OPEN,Team13,@ Team6,Team1,@ Team10,,2,7B,Team4,Team10
11,Team11,Team11,,11,12A,Team8,Team9,Team12,@ Team7,@ Team13,Team10,Team4,@ Team1,@ Team2,@ Team6,OPEN,@ Team3,Team5,,2,7B,Team5,Team8
12,Team12,Team12,,12,12B,Team6,@ Team8,@ Team9,Team12,Team7,@ Team1,@ Team5,Team2,Team3,OPEN,Team13,@ Team4,@ Team11,,2,7B,Team7,Team12
13,Team13,Team13,,13,13A,OPEN,@ Team12,Team6,Team11,@ Team9,@ Team3,Team13,Team10,Team5,@ Team8,@ Team4,Team2,@ Team7,,3,8A,Team3,Team1
,,,,14,13B,@ Team2,Team1,@ Team10,OPEN,@ Team11,@ Team9,OPEN,@ Team12,Team6,Team3,Team5,Team8,OPEN,,3,8A,Team10,Team2
,,,,15,14A,@ Team10,@ Team11,Team13,Team9,OPEN,Team12,Team8,@ Team7,@ Team4,Team1,Team2,@ Team6,@ Team3,,3,8A,Team4,Team7
,,,,16,14B,Team7,OPEN,OPEN,@ Team5,Team4,OPEN,@ Team1,Team9,@ Team8,@ Team12,@ Team13,Team10,Team11,,3,8A,Team5,Team13
,,,,17,15A,@ Team11,Team7,@ Team8,@ Team6,Team10,Team4,@ Team2,Team3,Team13,@ Team5,Team1,OPEN,@ Team9,,3,8A,Team6,Team8
,,,,18,15B,Team9,@ Team4,Team5,Team2,@ Team3,@ Team10,Team11,OPEN,@ Team1,Team6,@ Team7,@ Team13,Team12,,3,8A,Team11,Team12
,,,,,,,,,,,,,,,,,,,,4,8B,Team9,Team1
,,,,,,,,,,,,,,,,,,,,4,8B,Team13,Team2
,,,,,Total,16,16,16,16,16,16,16,16,16,16,16,16,16,,4,8B,Team11,Team3
,,,,,Away,8,8,8,8,8,8,8,8,8,8,8,8,8,,4,8B,Team8,Team4
,,,,,Home,8,8,8,8,8,8,8,8,8,8,8,8,8,,4,8B,Team12,Team5
,,,,,,,,,,,,,,,,,,,,5,9A,Team1,Team13
,,,,,,,,,,,,,,,,,,,,5,9A,Team2,Team11
,,,,,,,,,,,,,,,,,,,,5,9A,Team3,Team4
,,,,,,,,,,,,,,,,,,,,5,9A,Team12,Team6
,,,,,,,,,,,,,,,,,,,,5,9A,Team9,Team7
,,,,,,,,,,,,,,,,,,,,5,9A,Team10,Team8
,,,,,,,,,,,,,,,,,,,,6,9B,Team8,Team1
,,,,,,,,,,,,,,,,,,,,6,9B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,6,9B,Team7,Team3
,,,,,,,,,,,,,,,,,,,,6,9B,Team4,Team5
,,,,,,,,,,,,,,,,,,,,6,9B,Team6,Team13
,,,,,,,,,,,,,,,,,,,,6,9B,Team9,Team10
,,,,,,,,,,,,,,,,,,,,7,10A,Team1,Team10
,,,,,,,,,,,,,,,,,,,,7,10A,Team13,Team3
,,,,,,,,,,,,,,,,,,,,7,10A,Team5,Team6
,,,,,,,,,,,,,,,,,,,,7,10A,Team12,Team7
,,,,,,,,,,,,,,,,,,,,7,10A,Team11,Team9
,,,,,,,,,,,,,,,,,,,,8,10B,Team1,Team5
,,,,,,,,,,,,,,,,,,,,8,10B,Team6,Team2
,,,,,,,,,,,,,,,,,,,,8,10B,Team3,Team8
,,,,,,,,,,,,,,,,,,,,8,10B,Team11,Team4
,,,,,,,,,,,,,,,,,,,,8,10B,Team10,Team7
,,,,,,,,,,,,,,,,,,,,8,10B,Team13,Team9
,,,,,,,,,,,,,,,,,,,,9,11A,Team4,Team1
,,,,,,,,,,,,,,,,,,,,9,11A,Team5,Team2
,,,,,,,,,,,,,,,,,,,,9,11A,Team7,Team6
,,,,,,,,,,,,,,,,,,,,9,11A,Team13,Team8
,,,,,,,,,,,,,,,,,,,,9,11A,Team9,Team12
,,,,,,,,,,,,,,,,,,,,9,11A,Team10,Team11
,,,,,,,,,,,,,,,,,,,,10,11B,Team12,Team1
,,,,,,,,,,,,,,,,,,,,10,11B,Team2,Team4
,,,,,,,,,,,,,,,,,,,,10,11B,Team5,Team3
,,,,,,,,,,,,,,,,,,,,10,11B,Team6,Team11
,,,,,,,,,,,,,,,,,,,,10,11B,Team8,Team7
,,,,,,,,,,,,,,,,,,,,10,11B,Team10,Team13
,,,,,,,,,,,,,,,,,,,,11,12A,Team1,Team8
,,,,,,,,,,,,,,,,,,,,11,12A,Team2,Team9
,,,,,,,,,,,,,,,,,,,,11,12A,Team3,Team12
,,,,,,,,,,,,,,,,,,,,11,12A,Team7,Team4
,,,,,,,,,,,,,,,,,,,,11,12A,Team13,Team5
,,,,,,,,,,,,,,,,,,,,11,12A,Team6,Team10
,,,,,,,,,,,,,,,,,,,,12,12B,Team1,Team6
,,,,,,,,,,,,,,,,,,,,12,12B,Team8,Team2
,,,,,,,,,,,,,,,,,,,,12,12B,Team9,Team3
,,,,,,,,,,,,,,,,,,,,12,12B,Team4,Team12
