1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"Big West, Coastal Athletic, Sun Belt",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,,,,,,,Week,Home,Away
1,Team1,Team1,,1,7A,Team14,Team13,Team12,Team11,Team10,Team9,Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team1,,,,,,1,7A,Team1,Team14
2,Team2,Team2,,2,7B,@ Team13,@ Team11,@ Team10,@ Team9,@ Team8,@ Team7,Team6,Team5,Team4,Team3,Team2,Team14,Team1,@ Team12,,,,,,1,7A,Team2,Team13
3,Team3,Team3,,3,8A,Team12,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team14,@ Team13,@ Team1,Team11,Team10,,,,,,1,7A,Team3,Team12
4,Team4,Team4,,4,8B,@ Team11,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team14,Team13,Team12,Team1,@ Team10,@ Team9,@ Team8,,,,,,1,7A,Team4,Team11
5,Team5,Team5,,5,9A,Team10,Team5,Team4,@ Team3,@ Team2,@ Team14,@ Team13,@ Team12,@ Team11,@ Team1,Team9,Team8,Team7,Team6,,,,,,1,7A,Team5,Team10
6,Team6,Team6,,6,9B,@ Team9,@ Team3,Team2,Team14,Team13,Team12,Team11,Team10,Team1,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,,,,,,1,7A,Team6,Team9
7,Team7,Team7,,7,10A,Team8,@ Team14,@ Team13,@ Team12,@ Team11,@ Team10,@ Team9,@ Team1,Team7,Team6,Team5,Team4,Team3,Team2,,,,,,1,7A,Team7,Team8
8,Team8,Team8,,8,10B,@ Team7,Team12,Team11,Team10,Team9,Team8,Team1,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team14,Team13,,,,,,2,7B,Team13,Team1
9,Team9,Team9,,9,11A,Team6,@ Team10,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,Team2,Team14,Team13,@ Team12,@ Team11,,,,,,2,7B,Team11,Team2
10,Team10,Team10,,10,11B,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,@ Team14,@ Team13,@ Team12,Team11,Team10,Team9,,,,,,2,7B,Team10,Team3
11,Team11,Team11,,11,12A,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,Team14,Team13,Team12,Team11,@ Team10,@ Team9,@ Team8,@ Team7,,,,,,2,7B,Team9,Team4
12,Team12,Team12,,12,12B,@ Team3,Team4,Team1,@ Team2,@ Team14,@ Team13,@ Team12,@ Team11,@ Team10,Team9,Team8,Team7,Team6,Team5,,,,,,2,7B,Team8,Team5
13,Team13,Team13,,13,13A,Team2,@ Team1,Team14,Team13,Team12,Team11,Team10,Team9,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,,,,,,2,7B,Team7,Team6
14,Team14,Team14,,14,13B,@ Team4,Team6,@ Team12,Team1,@ Team10,@ Team2,@ Team14,@ Team13,Team11,Team5,@ Team9,Team3,Team8,Team7,,,,,,2,7B,Team12,Team14
,,,,15,14A,Team13,@ Team8,@ Team11,@ Team6,@ Team14,Team4,@ Team10,Team2,@ Team12,Team7,Team3,Team9,@ Team1,Team5,,,,,,3,8A,Team1,Team12
,,,,16,14B,@ Team6,@ Team4,@ Team8,Team2,@ Team12,Team1,Team13,Team3,Team14,@ Team11,Team10,Team5,@ Team7,@ Team9,,,,,,3,8A,Team2,Team9
,,,,17,15A,Team9,Team7,Team6,@ Team14,Team11,@ Team3,@ Team2,@ Team10,@ Team1,Team8,@ Team5,@ Team13,Team12,Team4,,,,,,3,8A,Team3,Team8
,,,,18,15B,@ Team2,Team1,@ Team4,Team3,@ Team6,Team5,@ Team8,Team7,Team10,@ Team9,Team12,@ Team11,Team14,@ Team13,,,,,,3,8A,Team4,Team7
,Marshall,MRSH,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team5,Team6
,Georgia State,GAST,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team14,Team10
,Louisiana,ULL,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team13,Team11
,Southern Miss,USM,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team11,Team1
,James Madison,JMU,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team7,Team2
,Georgia Southern,GASO,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team6,Team3
,Troy,TROY,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team5,Team4
,Louisiana-Monroe,ULM,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team8,Team14
,Coastal Carolina,CCU,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team9,Team13
,Louisiana Tech,LT,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team10,Team12
,South Alabama,USA,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team1,Team10
,Appalachian State,APST,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team2,Team5
,Arkansas State,ARST,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team3,Team4
,Old Dominion,ODU,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team14,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team13,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team12,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team11,Team9
,"13 unique opponents, 6 H&A",,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team9,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team3,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team4,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team5,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team6,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team7,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team8,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team1,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team14,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team13,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team12,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team11,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team10,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team9,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team7,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team2,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team3,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team4,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team5,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team6,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,8,10B,Team14,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team1,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team10,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team9,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team8,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team7,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team11,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,9,11A,Team12,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team5,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team2,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team3,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team4,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team14,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team13,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,10,11B,Team12,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team1,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team6,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team5,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team7,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team8,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team9,Team12
,,,,,,,,,,,,,,,,,,,,,,,,,11,12A,Team10,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team3,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team2,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team14,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,12,12B,Team13,Team6
