1 game against every team + 3 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"Big 12, SEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,,,,,Week,Home,Away
1,Team1,Team1,,1,7A,Team2,@ Team1,Team4,@ Team3,Team6,@ Team5,Team8,@ Team7,Team10,@ Team9,Team12,@ Team11,Team14,@ Team13,Team16,@ Team15,,,,1,7A,Team1,Team2
2,Team2,Team2,,2,7B,@ Team3,@ Team4,Team1,Team2,@ Team7,@ Team8,Team5,Team6,@ Team11,@ Team12,Team9,Team10,@ Team15,@ Team16,Team13,Team14,,,,1,7A,Team2,Team4
3,Team3,Team3,,3,8A,Team4,Team3,@ Team2,@ Team1,Team8,Team7,@ Team6,@ Team5,Team12,Team11,@ Team10,@ Team9,Team16,Team15,@ Team14,@ Team13,,,,1,7A,Team3,Team6
4,Team4,Team4,,4,8B,Team5,Team16,Team15,Team14,@ Team1,@ Team12,@ Team11,@ Team10,@ Team13,Team8,Team7,Team6,Team9,@ Team4,@ Team3,@ Team2,,,,1,7A,Team7,Team8
5,Team5,Team5,,5,9A,@ Team6,@ Team5,@ Team16,@ Team15,Team2,Team1,Team12,Team11,Team14,Team13,@ Team8,@ Team7,@ Team10,@ Team9,Team4,Team3,,,,1,7A,Team9,Team10
6,Team6,Team6,,6,9B,Team7,Team6,Team5,Team16,@ Team3,@ Team2,@ Team1,@ Team12,@ Team15,@ Team14,@ Team13,Team8,Team11,Team10,Team9,@ Team4,,,,1,7A,Team11,Team12
7,Team7,Team7,,7,10A,@ Team8,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team1,Team16,Team15,Team14,Team13,@ Team12,@ Team11,@ Team10,@ Team9,,,,1,7A,Team13,Team14
8,Team8,Team8,,8,10B,Team9,Team8,Team7,Team6,@ Team13,@ Team4,@ Team3,@ Team2,@ Team1,@ Team16,@ Team15,@ Team14,Team5,Team12,Team11,Team10,,,,1,7A,Team15,Team16
9,Team9,Team9,,9,11A,@ Team10,@ Team9,@ Team8,@ Team7,Team14,Team13,Team4,Team3,Team2,Team1,Team16,Team15,@ Team6,@ Team5,@ Team12,@ Team11,,,,2,7B,Team3,Team1
10,Team10,Team10,,10,11B,Team11,Team10,Team9,Team8,@ Team15,@ Team14,@ Team13,@ Team4,@ Team3,@ Team2,@ Team1,@ Team16,Team7,Team6,Team5,Team12,,,,2,7B,Team4,Team2
11,Team11,Team11,,11,12A,@ Team12,@ Team11,@ Team10,@ Team9,Team16,Team15,Team14,Team13,Team4,Team3,Team2,Team1,@ Team8,@ Team7,@ Team6,@ Team5,,,,2,7B,Team7,Team5
12,Team12,Team12,,12,12B,Team13,Team12,Team11,Team10,@ Team9,@ Team16,@ Team15,@ Team14,Team5,@ Team4,@ Team3,@ Team2,@ Team1,Team8,Team7,Team6,,,,2,7B,Team8,Team6
13,Team13,Team13,,13,13A,@ Team14,@ Team13,@ Team12,@ Team11,Team10,Team9,Team16,Team15,@ Team6,@ Team5,Team4,Team3,Team2,Team1,@ Team8,@ Team7,,,,2,7B,Team11,Team9
14,Team14,Team14,,14,13B,Team15,Team14,Team13,Team12,@ Team11,@ Team10,@ Team9,@ Team16,Team7,Team6,Team5,@ Team4,@ Team3,@ Team2,@ Team1,Team8,,,,2,7B,Team12,Team10
15,Team15,Team15,,15,14A,@ Team16,@ Team15,@ Team14,@ Team13,Team12,Team11,Team10,Team9,@ Team8,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team1,,,,2,7B,Team15,Team13
16,Team16,Team16,,16,14B,@ Team4,@ Team3,Team2,Team1,@ Team8,@ Team7,Team6,Team5,@ Team12,@ Team11,Team10,Team9,@ Team16,@ Team15,Team14,Team13,,,,2,7B,Team16,Team14
,,,,17,15A,Team3,Team4,@ Team1,@ Team2,Team7,Team8,@ Team5,@ Team6,Team11,Team12,@ Team9,@ Team10,Team15,Team16,@ Team13,@ Team14,,,,3,8A,Team1,Team4
,,,,18,15B,@ Team2,Team1,@ Team4,Team3,@ Team6,Team5,@ Team8,Team7,@ Team10,Team9,@ Team12,Team11,@ Team14,Team13,@ Team16,Team15,,,,3,8A,Team2,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team5,Team8
,Ole Miss,MISS,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team6,Team7
,Alabama,BAMA,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team9,Team12
,Auburn,AUB,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team10,Team10
,LSU,LSU,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team13,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team15,Team14
,Mississippi State,MSST,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team1,Team5
,Kentucky,UKEN,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team2,Team16
,Missouri,MIZZ,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team3,Team15
,Tennessee,TENN,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team4,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team12,Team6
,Georgia,UGA,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team11,Team7
,South Carolina,SOCA,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team10,Team8
,Florida,FLA,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team13,Team9
,Vanderbilt,VAND,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team6,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team5,Team2
,Texas,TEX,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team16,Team3
,Arkansas,ARK,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team15,Team4
,Texas A&M,TAMU,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team7,Team12
,Oklahoma,OKLA,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team8,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team9,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team10,Team13
,,,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team1,Team7
,Arizona State,AZST,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team2,Team6
,Arizona,ZONA,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team3,Team5
,Utah,UTAH,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team4,Team16
,BYU,BYU,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team12,Team8
,Iowa State,IAST,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team15,Team9
,Kansas State,KSST,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team14,Team10
,Colorado,COLO,,,,,,,,,,,,,,,,,,,,,,,6,9B,Team13,Team11
,Kansas,KANS,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team8,Team1
,Baylor,BAYL,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team7,Team2
,Texas Tech,TTU,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team6,Team3
,TCU,TCU,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team5,Team4
,Oklahoma State,OKST,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team9,Team16
,Houston,UHOU,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team10,Team15
,UCF,UCF,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team11,Team14
,Cincinnati,CINC,,,,,,,,,,,,,,,,,,,,,,,7,10A,Team12,Team13
