1 game against every team + 1 protected rivals (H&A),,,,,,,Week Conference Play Begins:,,7,,,,,,,,,,,,,,,,,,,
"ACC, Big Ten",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team Name,Team Code,,,,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Team9,Team10,Team11,Team12,Team13,Team14,Team15,Team16,Team17,Team18,,,Week,Home,Away
1,Team1,Team1,,1,7A,Team18,Team17,Team16,Team15,Team14,Team13,Team12,Team11,Team10,@ Team9,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team1,,1,7A,Team1,Team18
2,Team2,Team2,,2,7B,@ Team17,@ Team15,@ Team14,@ Team13,@ Team12,@ Team11,@ Team10,@ Team9,Team8,Team7,Team6,Team5,Team4,Team3,Team2,Team18,Team1,@ Team16,,1,7A,Team2,Team17
3,Team3,Team3,,3,8A,Team16,Team13,Team12,Team11,Team10,Team9,Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team18,@ Team17,@ Team1,Team15,Team14,,1,7A,Team3,Team16
4,Team4,Team4,,4,8B,@ Team15,@ Team11,@ Team10,@ Team9,@ Team8,@ Team7,Team6,Team5,Team4,Team3,Team2,Team18,Team17,Team16,Team1,@ Team14,@ Team13,@ Team12,,1,7A,Team4,Team15
5,Team5,Team5,,5,9A,Team14,Team9,Team8,Team7,Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team18,@ Team17,@ Team16,@ Team15,@ Team1,Team13,Team12,Team11,Team10,,1,7A,Team5,Team14
6,Team6,Team6,,6,9B,@ Team13,@ Team7,@ Team6,@ Team5,Team4,Team3,Team2,Team18,Team17,Team16,Team15,Team14,Team1,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,,1,7A,Team6,Team13
7,Team7,Team7,,7,10A,Team12,Team5,Team4,@ Team3,@ Team2,@ Team18,@ Team17,@ Team16,@ Team15,@ Team14,@ Team13,@ Team1,Team11,Team10,Team9,Team8,Team7,Team6,,1,7A,Team7,Team12
8,Team8,Team8,,8,10B,@ Team11,@ Team3,Team2,Team18,Team17,Team16,Team15,Team14,Team13,Team12,Team1,@ Team10,@ Team9,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,,1,7A,Team8,Team11
9,Team9,Team9,,9,11A,Team10,@ Team18,@ Team17,@ Team16,@ Team15,@ Team14,@ Team13,@ Team12,@ Team11,@ Team1,Team9,Team8,Team7,Team6,Team5,Team4,Team3,Team2,,1,7A,Team9,Team10
10,Team10,Team10,,10,11B,@ Team9,Team16,Team15,Team14,Team13,Team12,Team11,Team10,Team1,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team18,Team17,,2,7B,Team17,Team1
11,Team11,Team11,,11,12A,Team8,@ Team14,@ Team13,@ Team12,@ Team11,@ Team10,@ Team9,@ Team1,Team7,Team6,Team5,Team4,Team3,Team2,Team18,Team17,@ Team16,@ Team15,,2,7B,Team16,Team18
12,Team12,Team12,,12,12B,@ Team7,Team12,Team11,Team10,Team9,Team8,Team1,@ Team6,@ Team5,@ Team4,@ Team3,@ Team2,@ Team18,@ Team17,@ Team16,Team15,Team14,Team13,,2,7B,Team15,Team2
13,Team13,Team13,,13,13A,Team6,@ Team10,@ Team9,@ Team8,@ Team7,@ Team1,Team5,Team4,Team3,Team2,Team18,Team17,Team16,Team15,@ Team14,@ Team13,@ Team12,@ Team11,,2,7B,Team14,Team3
14,Team14,Team14,,14,13B,@ Team5,Team8,Team7,Team6,Team1,@ Team4,@ Team3,@ Team2,@ Team18,@ Team17,@ Team16,@ Team15,@ Team14,Team13,Team12,Team11,Team10,Team9,,2,7B,Team13,Team4
15,Team15,Team15,,15,14A,Team4,@ Team6,@ Team5,@ Team1,Team3,Team2,Team18,Team17,Team16,Team15,Team14,Team13,@ Team12,@ Team11,@ Team10,@ Team9,@ Team8,@ Team7,,2,7B,Team12,Team5
16,Team16,Team16,,16,14B,@ Team3,Team4,Team1,@ Team2,@ Team18,@ Team17,@ Team16,@ Team15,@ Team14,@ Team13,@ Team12,Team11,Team10,Team9,Team8,Team7,Team6,Team5,,2,7B,Team11,Team6
17,Team17,Team17,,17,15A,Team2,@ Team1,Team18,Team17,Team16,Team15,Team14,Team13,Team12,Team11,@ Team10,@ Team9,@ Team8,@ Team7,@ Team6,@ Team5,@ Team4,@ Team3,,2,7B,Team10,Team7
18,Team18,Team18,,18,15B,@ Team18,@ Team17,@ Team16,@ Team15,@ Team14,@ Team13,@ Team12,@ Team11,@ Team10,Team9,Team8,Team7,Team6,Team5,Team4,Team3,Team2,Team1,,2,7B,Team9,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team1,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team17,Team15
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team18,Team14
,,,,,Total,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,3,8A,Team2,Team13
,,,,,Away,9,10,8,10,8,10,8,10,8,9,9,9,9,9,9,9,9,9,,3,8A,Team3,Team12
,,,,,Home,9,8,10,8,10,8,10,8,10,9,9,9,9,9,9,9,9,9,,3,8A,Team4,Team11
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team5,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team6,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,3,8A,Team7,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team15,Team1
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team11,Team2
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team10,Team3
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team9,Team4
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team8,Team5
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team7,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team12,Team18
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team13,Team17
,,,,,,,,,,,,,,,,,,,,,,,,,4,8B,Team14,Team16
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team1,Team14
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team2,Team9
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team3,Team8
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team4,Team7
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team5,Team6
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team18,Team10
,,,,,,,,,,,,,,,,,,,,,,,,,5,9A,Team17,Team11
